,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
88,Licenciatura,Ciencias Sociales y Humanidades,Licenciatura en Educación para la Sustentabilidad,Ing robotica,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIAJFED
89,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería Robótica,Ing robotica,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBDFED
90,Licenciatura,Arquitectura y Urbanismo,Licenciatura en Arquitectura,Arquitectura,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBSFED
91,Licenciatura,Ciencias de la Salud,LICENCIATURA EN PSICOLOGÍA,UVE,Antiguos,,Mensual,,SI,SI,SI,UVELIPSESG
92,Maestria,Ingeniería y Tecnología,Maestría en Soluciones de Inteligencia Artificial para Negocios y Servicios,Pricing medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABPFED
93,Maestria,Ingeniería y Tecnología,Maestría en Innovación Estratégica con Inteligencia Artificial,Pricing medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABRFED
94,Doctorado,Ingeniería y Tecnología,Doctorado en Ciberseguridad y Gestión de Riesgos Digitales,CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),,,,UTLDOAKFED
95,Maestria,Finanzas y Economía,Maestría en Educación Inteligente y Diseño Instruccional con Inteligencia Artificial,Pricing medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABQFED
96,Maestria,Ingeniería y Tecnología,Maestría en Automatización y Robótica Industrial,ARQUITECTURA DE SOFTWARE,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABFFED
97,Licenciatura,Diseño y Comunicación,LICENCIATURA EN ARTE DIGITAL Y MULTIMEDIA,UNICA,Antiguos,,Mensual,,SI,SI,SI,UNILIDAESN
98,Maestria,Ingeniería y Tecnología,Maestría en Automatización de Procesos y Análisis Predictivo,Pricing medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABMFED
99,Licenciatura,Ciencias Sociales y Humanidades,LICENCIATURA EN MARKETING Y PUBLICIDAD,UNICA,Antiguos,,Mensual,,SI,SI,SI,UNILIMPESN
100,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA EN LOGÍSTICA Y TRANSPORTE,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLILTFED
101,Maestria,Ingeniería y Soluciones,Maestría en Ingeniería de Datos e Infraestructura,ARQUITECTURA DE SOFTWARE,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABIFED
102,Maestria,Ingeniería y Soluciones,Maestría en Arquitectura de Software,ARQUITECTURA DE SOFTWARE,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABJFED
103,Maestria,Arquitectura y Urbanismo,Maestría en Valuación Inmobiliaria,Pricing medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABOFED
104,Licenciatura,Ingeniería y Tecnología,LICENCIATURA EN INTELIGENCIA ARTIFICIAL,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIIRFED
